일시	지점	일최저체감온도(°C)	일최고기온(°C)	일평균기온(°C)	일최저기온(°C)	일평균상대습도(%)	일평균풍속(m/s)	일최대풍속(m/s)	한파특보(O/X)	한파영향예보(단계)	동파가능지수(03h)(단계)	동파가능지수(06h)(단계)	동파가능지수(09h)(단계)	동파가능지수(12h)(단계)	동파가능지수(15h)(단계)	동파가능지수(18h)(단계)	동파가능지수(21h)(단계)	동파가능지수(24h)(단계)
2024-01-01	북강릉(104)	.2	5.9	3.3	1.2	83.3	.7	1.9	X	 								
2024-01-01	동해(106)	.4	7.1	4.6	2	79.9	1.2	2.9	X	 								
2024-01-01	서울(108)	-3.1	7.3	3.3	-.3	83.4	1.7	3.2	X	 								
2024-01-01	인천(112)	-2.3	5.2	2.9	.2	87.1	1.4	3	X	 								
2024-01-01	원주(114)	.4	6.4	3.3	1.3	88.9	.4	1.7	X	 								
2024-01-01	울릉도(115)	-4.6	5.9	3	1.4	73	4.2	10	X	 								
2024-01-01	수원(119)	-3.7	6.5	2.1	-2.2	84.8	.9	3.3	X	 								
2024-01-01	영월(121)	.4	6.7	2.7	1.1	90.9	.3	1.7	X	 								
2024-01-01	충주(127)	-.6	6.6	2.8	.4	90.5	.6	1.7	X	 								
2024-01-01	서산(129)	-1.9	8.1	3.9	-.7	82.8	1	2.9	X	관심								
2024-01-01	울진(130)	-1.9	6.9	4.2	.9	73.8	2.3	4.6	X	 								
2024-01-01	청주(131)	-3.3	7.1	3.6	-.5	80.6	.8	2.2	X	 								
2024-01-01	대전(133)	-2.7	9	3.8	-.2	75.3	.8	2.4	X	관심								
2024-01-01	추풍령(135)	-4.6	7.4	2.4	-2.5	78.3	1.2	4.9	X	 								
2024-01-01	안동(136)	-1.9	8.5	3.2	-1.4	76.6	.6	3.1	X	 								
2024-01-01	상주(137)	-3	8.3	2.7	-1.7	80.8	.6	2	X	 								
2024-01-01	포항(138)	1.6	8.1	6.1	3.6	63.5	2	3.5	X	 								
2024-01-01	군산(140)	-.6	8.8	4.4	.2	78.4	1	2.7	X	 								
2024-01-01	대구(143)	-3.8	10.2	3.9	-1.7	74.9	1.2	3.5	X	 								
2024-01-01	전주(146)	-1.6	9.3	5.1	.2	74.5	1.1	2.3	X	 								
2024-01-01	울산(152)	.4	9.5	5.6	2.9	65.4	2.4	4.6	X	 								
2024-01-01	창원(155)	1.1	10.3	5.5	.9	63.8	.8	2.9	X	 								
2024-01-01	광주(156)	1.1	9.3	5.5	1.3	81.5	.7	1.9	X	관심								
2024-01-01	부산(159)	.9	13.2	7.3	4	59	2.7	4.8	X	 								
2024-01-01	통영(162)	-1.2	11.4	5.8	1.1	71.4	2.1	5.5	X	 								
2024-01-01	목포(165)	1.1	9.5	5.6	2.9	69.5	1.8	4.3	X	관심								
2024-01-01	여수(168)	.6	9.9	6.5	2.9	64.1	2.6	7	X	 								
2024-01-01	흑산도(169)	1.6	7.9	6.9	6	67.8	2.4	8.3	X	 								
2024-01-01	완도(170)	1.5	9.1	6.3	2.8	71.3	1.1	2.9	X	관심								
2024-01-01	고창(172)	-2.9	9.5	4.2	-1	75	1.5	3.7	X	관심								
2024-01-01	제주(184)	4.6	11.3	8.5	6.4	68.5	2.2	6.2	X	 								
2024-01-01	진주(192)	-3.5	10.7	3.4	-3.6	74.5	.3	1.9	X	 								
2024-01-01	양평(202)	-2.1	2.5	.9	-.3	98.3	.7	2.3	X	 								
2024-01-01	이천(203)	-2.4	1.5	0	-1.2	100	.4	1.4	X	 								
2024-01-01	인제(211)	-.5	5.5	3	.4	77.1	.9	3.9	X	 								
2024-01-01	홍천(212)	.2	5.9	2.1	-.1	88.4	.1	1.1	X	 								
2024-01-01	태백(216)	-5.3	2	-.2	-1.9	78	1.3	3.4	X	 								
2024-01-01	정선군(217)	-2	4.2	.6	-.8	84.1	.4	2.2	X	 								
2024-01-01	제천(221)	-2.2	5.7	1.5	-1.4	93.6	.4	1.4	X	 								
2024-01-01	보은(226)	-2.6	8	2.7	-1.3	87.1	.7	3	X	 								
2024-01-01	천안(232)	-2.6	7.3	2.5	-1.3	89.8	.6	2.1	X	 								
2024-01-01	보령(235)	-1.3	8.2	4.2	0	78.6	.9	3	X	관심								
2024-01-01	부여(236)	-1.1	8.3	3.8	-.7	85.5	.5	1.9	X	 								
2024-01-01	금산(238)	-1.7	7.3	2.7	-1	87.8	.6	1.7	X	 								
2024-01-01	세종(239)	-1.7	7.3	3.4	.2	84.4	.7	2	X	 								
2024-01-01	부안(243)	-.5	9.4	4.9	-.2	80.5	.6	1.9	X	관심								
